"FAQ ID","카테고리","FAQ 질문","FAQ 답변","권장 처리 의도","세부 의도"
"FAQ-039","요금/청구","지난달 요금 납부 내역을 확인하고 싶어요.","요금 조회 메뉴에서 과거 납부 내역을 확인할 수 있습니다.","FAQ_RAG","납부 내역"
"FAQ-040","요금/청구","자동이체 계좌를 변경하려면 어떻게 하나요?","본인 인증 후 납부 계좌를 변경할 수 있습니다.","FAQ_RAG","자동이체 변경"
"FAQ-041","요금/청구","휴대폰 요금 결제 카드를 변경하고 싶어요.","요금 납부 관리 메뉴에서 결제 카드를 변경할 수 있습니다.","FAQ_RAG","결제 카드 변경"
"FAQ-042","요금/청구","휴대폰 요금을 연체하면 어떻게 되나요?","연체료가 발생하고 장기 미납 시 서비스가 제한될 수 있습니다.","FAQ_RAG","요금 연체"
"FAQ-043","요금/청구","휴대폰 소액결제를 차단할 수 있나요?","소액결제 관리 메뉴나 고객센터를 통해 차단할 수 있습니다.","FAQ_RAG","소액결제 차단"
"FAQ-044","요금/청구","소액결제 한도를 변경하고 싶어요.","본인 인증 후 소액결제 한도를 변경할 수 있습니다.","FAQ_RAG","소액결제 한도"
"FAQ-045","약정/해지","서비스를 해지하려면 어떻게 하나요?","본인 인증 후 고객센터 또는 매장에서 해지를 신청할 수 있습니다.","FAQ_RAG","서비스 해지"
"FAQ-046","약정/해지","약정 기간 중 해지하면 위약금이 발생하나요?","할인이나 지원금을 받은 경우 계약 조건에 따라 위약금이 발생할 수 있습니다.","FAQ_RAG","해지 위약금"
"FAQ-047","약정/해지","약정이 끝나기 전에 다른 통신사로 이동할 수 있나요?","번호이동은 가능하지만 기존 약정에 따른 위약금이 발생할 수 있습니다.","FAQ_RAG","약정 중 번호이동"
"FAQ-048","약정/해지","해지하면 남은 단말기 할부금은 어떻게 되나요?","통신 서비스를 해지해도 남은 단말기 할부금은 계속 납부해야 합니다.","FAQ_RAG","단말기 할부금"
"FAQ-049","약정/해지","해지한 번호를 다시 사용할 수 있나요?","번호 관리 상태에 따라 재사용 가능 여부가 달라집니다.","FAQ_RAG","해지 번호 재사용"
"FAQ-050","약정/해지","약정이 끝났는지 어디에서 확인할 수 있나요?","앱이나 홈페이지의 가입 정보에서 약정 기간을 확인할 수 있습니다.","FAQ_RAG","약정 조회"
"FAQ-051","분실/도난","휴대폰을 잃어버렸어요.","즉시 분실 신고를 하고 회선을 일시 정지하는 것을 권장합니다.","FAQ_RAG","분실 초기 대응"
"FAQ-052","분실/도난","휴대폰 분실 신고는 어떻게 하나요?","앱, 홈페이지 또는 고객센터에서 분실 신고를 할 수 있습니다.","FAQ_RAG","분실 신고"
"FAQ-053","분실/도난","분실한 휴대폰 위치를 찾을 수 있나요?","단말기의 위치 찾기 기능이 활성화돼 있다면 제조사 서비스를 이용할 수 있습니다.","FAQ_RAG","기기 위치 찾기"
"FAQ-054","분실/도난","휴대폰을 도난당했어요.","즉시 분실·도난 신고 후 회선을 정지하는 것이 좋습니다.","FAQ_RAG","도난 대응"
"FAQ-055","분실/도난","분실한 유심을 다른 사람이 사용할 수 있나요?","회선을 정지하면 다른 사람이 유심을 사용하는 것을 방지할 수 있습니다.","FAQ_RAG","분실 유심 차단"
"FAQ-056","분실/도난","분실 정지를 해제하려면 어떻게 하나요?","본인 인증 후 고객센터나 홈페이지에서 해제할 수 있습니다.","FAQ_RAG","분실 정지 해제"
"FAQ-057","분실/도난","휴대폰을 잠시 사용하지 않으려고 합니다.","일정 기간 회선을 일시 정지할 수 있습니다.","FAQ_RAG","일시정지"
"FAQ-058","분실/도난","일시정지 중에도 요금이 발생하나요?","일부 기본 유지 비용이나 서비스 요금이 발생할 수 있습니다.","FAQ_RAG","일시정지 요금"
"FAQ-059","통화/문자","전화가 걸리지 않아요.","통신 상태, 비행기 모드, 발신 제한 설정을 확인해 주세요.","FAQ_RAG","발신 장애"
"FAQ-060","통화/문자","전화가 오지 않아요.","수신 차단 설정과 네트워크 상태를 확인해 주세요.","FAQ_RAG","수신 장애"
"FAQ-061","통화/문자","문자 메시지가 전송되지 않아요.","통신 상태와 메시지 설정을 확인해 주세요.","FAQ_RAG","문자 발신 장애"
"FAQ-062","통화/문자","문자 메시지를 받지 못하고 있어요.","수신 차단과 저장 공간, 네트워크 상태를 확인해 주세요.","FAQ_RAG","문자 수신 장애"
"FAQ-063","통화/문자","특정 전화번호를 차단하려면 어떻게 하나요?","전화 또는 메시지 앱에서 해당 번호를 차단할 수 있습니다.","FAQ_RAG","번호 차단"
"FAQ-064","통화/문자","스팸 문자를 차단하고 싶어요.","휴대폰 또는 통신사의 스팸 차단 기능을 이용할 수 있습니다.","FAQ_RAG","스팸 차단"
"FAQ-065","통화/문자","발신번호 표시를 숨길 수 있나요?","발신번호 표시 제한 기능을 이용할 수 있습니다.","FAQ_RAG","발신번호 숨김"
"FAQ-066","통화/문자","통화 중 다른 전화가 오는 것을 확인할 수 있나요?","통화 중 대기 서비스를 이용할 수 있습니다.","FAQ_RAG","통화 중 대기"
"FAQ-067","요금제","요금제를 변경하고 싶어요.","앱, 홈페이지, 고객센터 또는 매장에서 변경할 수 있습니다.","FAQ_RAG","요금제 변경"
"FAQ-068","요금제","요금제를 변경하면 언제 적용되나요?","변경 조건에 따라 즉시 또는 다음 정산일부터 적용될 수 있습니다.","FAQ_RAG","요금제 변경 적용"
"FAQ-069","요금제","데이터 무제한 요금제가 있나요?","데이터 무제한 또는 일정 사용 후 속도 제한형 요금제가 있습니다.","FAQ_RAG","무제한 요금제"
"FAQ-070","요금제","데이터 사용량이 적은 사람에게 적합한 요금제가 있나요?","소량 데이터 중심의 저가 요금제를 선택할 수 있습니다.","FAQ_RAG","저용량 요금제"
"FAQ-071","요금제","가족끼리 데이터를 공유할 수 있나요?","지원 요금제나 가족 결합 서비스에서 데이터를 공유할 수 있습니다.","FAQ_RAG","가족 데이터 공유"
"FAQ-072","요금제","남은 데이터를 다음 달로 넘길 수 있나요?","데이터 이월을 지원하는 요금제에서 가능합니다.","FAQ_RAG","데이터 이월"
"FAQ-073","요금제","약정 없이 사용할 수 있는 요금제가 있나요?","무약정 형태의 요금제를 이용할 수 있습니다.","FAQ_RAG","무약정 요금제"
"FAQ-074","요금제","청소년 전용 요금제가 있나요?","청소년 전용 혜택이 포함된 요금제가 제공될 수 있습니다.","FAQ_RAG","청소년 요금제"
"FAQ-075","매장/위치","가까운 매장은 어떻게 찾나요?","홈페이지 또는 앱의 매장 찾기 기능에서 위치나 주소로 검색할 수 있습니다.","FAQ_RAG","매장 검색 방법"
"FAQ-076","매장/위치","현재 위치에서 가장 가까운 매장을 찾고 싶어요.","위치 정보 이용에 동의하면 현재 위치 기준 가까운 매장을 확인할 수 있습니다.","MAP_API","현재 위치 기반 가까운 매장"
"FAQ-077","매장/위치","매장 영업시간은 어떻게 확인하나요?","매장 검색 결과에서 각 매장의 운영시간을 확인할 수 있습니다.","FAQ_RAG","영업시간 확인 방법"
"FAQ-078","매장/위치","주말에도 운영하는 매장이 있나요?","일부 매장은 주말에도 운영하며 매장별 영업시간 확인이 필요합니다.","FAQ_RAG","주말 영업"
"FAQ-079","매장/위치","현재 영업 중인 가까운 매장을 찾고 싶어요.","현재 위치와 영업시간을 기준으로 운영 중인 가까운 매장을 확인할 수 있습니다.","MAP_API","현재 영업 중 가까운 매장"
"FAQ-080","매장/위치","매장에서 요금제를 변경할 수 있나요?","신분증을 지참하면 매장에서 요금제 변경을 신청할 수 있습니다.","FAQ_RAG","매장 업무"
"FAQ-081","고객지원/기타","고객센터 운영시간은 언제인가요?","일반 상담은 정해진 운영시간에 제공되며 분실 신고 등 일부 업무는 별도로 운영될 수 있습니다.","FAQ_RAG","고객센터 운영시간"
"FAQ-082","고객지원/기타","상담원과 직접 통화하고 싶어요.","고객센터 대표번호에서 상담원 연결 메뉴를 선택해 상담할 수 있습니다.","FAQ_RAG","상담원 연결"
"FAQ-083","고객지원/기타","명의 변경이 가능한가요?","허용되는 조건에서 본인 확인 및 필요한 서류를 제출하면 명의 변경을 신청할 수 있습니다.","FAQ_RAG","명의 변경"
"FAQ-084","고객지원/기타","가족 결합 할인을 신청하려면 어떻게 하나요?","가입 조건과 가족 관계 확인 서류를 확인한 뒤 가족 결합을 신청할 수 있습니다.","FAQ_RAG","가족 결합"
"FAQ-085","고객지원/기타","통신 서비스 장애가 발생했는지 확인하고 싶어요.","통신사 홈페이지나 고객센터의 장애·점검 안내에서 확인할 수 있습니다.","FAQ_RAG","서비스 장애 확인"
"FAQ-086","가입/개통","휴대폰 개통에는 얼마나 시간이 걸리나요?","본인 인증과 가입 심사가 완료되면 일반적으로 당일 개통되며 상황에 따라 더 걸릴 수 있습니다.","FAQ_RAG","개통 시간"
"FAQ-087","가입/개통","온라인으로 휴대폰 개통이 가능한가요?","지원되는 가입 채널에서는 본인 인증 후 비대면 개통을 진행할 수 있습니다.","FAQ_RAG","온라인 개통"
"FAQ-088","가입/개통","미성년자도 휴대폰에 가입할 수 있나요?","법정대리인 동의와 필요한 서류를 준비하면 가입할 수 있습니다.","FAQ_RAG","미성년자 가입"
"FAQ-089","가입/개통","외국인도 휴대폰 가입이 가능한가요?","본인 확인이 가능한 외국인 신분증과 필요한 서류를 준비하면 가입할 수 있습니다.","FAQ_RAG","외국인 가입"
"FAQ-090","가입/개통","여러 개의 휴대폰 회선을 가입할 수 있나요?","가입 심사와 회선 제한 범위 내에서 복수 회선을 가입할 수 있습니다.","FAQ_RAG","복수 회선"
"FAQ-091","요금/청구","청구서를 이메일로 받을 수 있나요?","청구서 수신 방법에서 이메일 또는 모바일 청구서로 변경할 수 있습니다.","FAQ_RAG","청구서 수신"
"FAQ-092","통화/문자","음성사서함을 이용할 수 있나요?","음성사서함 서비스를 신청하면 전화를 받지 못했을 때 음성 메시지를 받을 수 있습니다.","FAQ_RAG","음성사서함"
"FAQ-093","통화/문자","국제전화를 사용할 수 있나요?","국제전화 서비스를 이용하면 해외 전화번호로 전화를 걸 수 있습니다.","FAQ_RAG","국제전화"
"FAQ-094","데이터/속도","데이터 사용량 알림을 받을 수 있나요?","지원되는 경우 데이터 사용량 알림 또는 한도 알림 기능을 설정할 수 있습니다.","FAQ_RAG","데이터 알림"
"FAQ-095","해외 로밍","로밍 사용량을 확인할 수 있나요?","앱이나 홈페이지의 로밍 이용내역에서 사용량을 확인할 수 있습니다.","FAQ_RAG","로밍 사용량 조회"
"FAQ-096","가입/개통","휴대폰 개통 후 바로 사용할 수 있나요?","개통 완료 후 단말기를 재부팅하거나 유심을 다시 장착하면 이용할 수 있습니다.","FAQ_RAG","개통 후 사용"
"FAQ-097","가입/번호이동","휴대폰을 중고 기기로 변경해도 되나요?","정상 사용 가능한 단말기라면 기존 유심을 장착하거나 기기 변경 절차 후 이용할 수 있습니다.","FAQ_RAG","중고 기기 변경"
"FAQ-098","요금제","데이터 공유 전용 회선을 사용할 수 있나요?","지원 요금제에서는 데이터 공유용 추가 회선을 이용할 수 있습니다.","FAQ_RAG","데이터 공유 회선"
"FAQ-099","가입/개통","법인 명의로 가입할 수 있나요?","법인 가입에 필요한 사업자 및 담당자 서류를 제출하면 가입할 수 있습니다.","FAQ_RAG","법인 가입"
"FAQ-100","가입/개통","가입할 때 필요한 서류는 무엇인가요?","일반적으로 본인 신분증이 필요하며 가입 유형에 따라 추가 서류가 요구될 수 있습니다.","FAQ_RAG","가입 서류"
